FID,Contrato,Area_Km2,Nombre,Operador,Cuenca,Compañía de Servicios,Fecha de adquisición,XMIN,XMAX,YMIN,YMAX,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
53,LLA-10,234.33102097,LLANOS10 3D-2011,PAREX RESOURCES COLOMBIA LTD SUCURSAL,LLANOS ORIENTALES,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-71.75015736,-71.56924218,6.08039479,6.25045739,0.0191115625498,0.608393071888,238210445.321289,67894.7823558126
54,SSJN-09,370.6415203,SSJN9 3D-2010,MAUREL & PROM COLOMBIA B.V.,VALLE INFERIOR DEL MAGDALENA,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-74.41985488,-74.19448315,9.255634,9.50053817,0.030507745026,0.780696763811,383181863.101074,87517.5917893092
55,PALERMO_(ASOCIACION),58.51039744,BALCON 3D-2001,ECOPETROL S.A.,VALLE SUPERIOR DEL MAGDALENA,GRANT GEOPHYSCIAL INC,1/1/1900 12:00:00 AM,-75.36257398,-75.28133519,3.14226341,3.2130619,0.00475830266579,0.288676484943,59055831.9484863,32158.437477645
56,ALCARAVAN,61.97919591,CANACABARE 3D-2015,HARKEN DE COLOMBIA LIMITED,LLANOS ORIENTALES,ENAGEO SAS,1/1/1900 12:00:00 AM,-71.89953736,-71.79715956,4.77680364,4.90397167,0.00504525401447,0.37527998062,62744659.5300293,41860.9170487656
57,VMM-03,18.95228608,VMM3 NORTE 3D-2011,SHELL EXPLORATION AND PRODUCTION COLOMBIA GMBH,VALLE MEDIO DEL MAGDALENA,SAE EXPLORATION S.A.S.,1/1/1900 12:00:00 AM,-73.70256187,-73.65246556,7.95337637,8.00004426,0.00155426846734,0.148396089181,19448713.6953125,16598.0828612606
58,VIM-02,54.49497784,LOS OLMOS 3D-2001,HARKEN DE COLOMBIA LIMITED,VALLE INFERIOR DEL MAGDALENA,GAPS LTD,1/1/1900 12:00:00 AM,-74.56777755,-74.48516279,9.30743765,9.37194757,0.00448482018162,0.251150648646,56322446.1044922,28108.5191439831
59,UPIA_(CONVENIO),192.640165,UPIA B SUR 3D-2000,PETROBRAS COLOMBIA LIMITED,LLANOS ORIENTALES,GAPS LTD,1/1/1900 12:00:00 AM,-72.53190275,-72.32756247,4.52771147,4.72447468,0.0156871834039,0.640920179461,195033381.236572,71471.3365414679
60,LLA-43,172.40684204,LLANOS 43 3D-2013_B,BC EXPLORACION Y PRODUCCION DE HIDROCARBUROS S L SUCURSAL COLOMBIA,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-71.02616669,-70.86709072,6.76222333,6.90055946,0.0140622479545,0.542925005283,175507499.302246,60641.6939316342
61,MERECURE,330.36398373,MERECURE SUR 3D-2011,CEPSA COLOMBIA S.A.,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-71.1058542,-70.89455131,5.54079347,5.73194621,0.0268883176056,0.688491020004,334819895.905273,76833.1973718721
62,CACHICAMO,94.17848246,CACHICAMO 3D-2008,FRONTERA ENERGY COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,"GEOKINETICS INTERNATIONAL, INC",1/1/1900 12:00:00 AM,-71.84623729,-71.7325388,4.78820831,4.91307054,0.00766542546723,0.405334371887,95331687.8823242,45206.2909677375
63,CHAZA,95.4940408,RIO GUINEO 3D-2010,"GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL",VALLE SUPERIOR DEL MAGDALENA,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-76.68676889,-76.59629556,0.96072121,1.05917755,0.00774353869275,0.350523378076,95973154.1709595,39023.2630480093
64,SAMAN,130.20821093,SAMAN 3D-2011,HOCOL S.A.,VALLE INFERIOR DEL MAGDALENA,GEOFISICA SISTEMAS Y SOLUCIONES S A GSS EN LIQUIDACION JUDICIAL - GSS S A,1/1/1900 12:00:00 AM,-75.17367094,-75.04145765,9.45522526,9.60679867,0.010718421265,0.485361104024,134682732.100586,54420.6749670735
65,LLA-20,216.12784886,LLANOS20 3D-2009,PAREX RESOURCES COLOMBIA LTD SUCURSAL,LLANOS ORIENTALES,PETROANDINA RESOURCES INC.,1/1/1900 12:00:00 AM,-71.6252186,-71.41744788,5.25034203,5.37485113,0.0175969430786,0.619349622509,219003713.901855,69064.0768543994
66,ESPERANZA,121.05617043,ESPERANZA 3D-2010,GEOPRODUCTION OIL AND GAS COMPANY LLC,VALLE INFERIOR DEL MAGDALENA,GEOFISICA SISTEMAS Y SOLUCIONES S A GSS EN LIQUIDACION JUDICIAL - GSS S A,1/1/1900 12:00:00 AM,-75.39109775,-75.26718782,8.61031197,8.71773728,0.00994055140828,0.488657144213,124605373.271973,54666.6444343737
67,LLA-66,55.3101595,LLANOS66 3D-2013,BC EXPLORACION Y PRODUCCION DE HIDROCARBUROS S L SUCURSAL COLOMBIA,LLANOS ORIENTALES,INFORPETROL S.A.,1/1/1900 12:00:00 AM,-73.11505414,-73.04548368,3.81746434,3.91030428,0.00450197053801,0.265938309237,55915267.5649414,29643.6703011752
68,SANTANA,43.34469178,LINDA TOROYACO 3D-95,"GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL",CAGUAN-PUTUMAYO,GRANT GEOPHYSCIAL INC,1/1/1900 12:00:00 AM,-76.54048424,-76.43848779,0.96378685,1.02504489,0.00351559253955,0.260995796785,43571928.2442017,29055.3655415168
69,LA_PALOMA,24.73194404,JUGLAR 3D-2014,UNION TEMPORAL PETROCARIBE,VALLE MEDIO DEL MAGDALENA,VECTOR GEOPHYSICAL SAS,1/1/1900 12:00:00 AM,-73.68540411,-73.62232195,7.68468707,7.74696165,0.00202700418356,0.18001514043,25348193.9560547,20129.7789494946
70,ARMERO_(CONVENIO),21.31326029,ARMERO 3D-2007,VAROSA ENERGY LTD,VALLE MEDIO DEL MAGDALENA,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-74.90944588,-74.87510593,4.89758955,4.9482642,0.00173739693602,0.169894253358,21609590.9609375,18954.2959800947
71,YD_SN-1,81.8274369,YDSN1 3D-2016,HOCOL S.A.,SINU SAN JACINTO,SAEXPLORATION,1/1/1900 12:00:00 AM,-75.57470359,-75.49999494,9.44757598,9.55215962,0.00673343046824,0.345725444949,84600616.9042969,38798.5426728592
72,EL_SANCY,400.61092827,SANCY 3D-2009,CEPSA COLOMBIA S.A.,LLANOS ORIENTALES,GLOBAL GEOPHYSICAL SERVICES INC,1/1/1900 12:00:00 AM,-72.18051575,-71.9261271,5.34707989,5.61928965,0.032653977034,0.865379293874,406504779.817871,96578.1409201205
73,CHICUACO,50.09496435,CHICUACO 3D-2009,COMPETROL LIMITADA,LLANOS ORIENTALES,SEISMIC & DRILLING SERVICES S.A.,1/1/1900 12:00:00 AM,-71.55548627,-71.47909536,4.38691959,4.49563246,0.00407353268992,0.305180320033,50631250.9511719,34024.6076476141
74,APIAY,185.70167838,APIAY 3D-93,ECOPETROL S.A.,LLANOS ORIENTALES,WESTERN,1/1/1900 12:00:00 AM,-73.50771511,-73.32261241,3.98415236,4.13468306,0.0151221941469,0.515382662004,187865978.104248,57433.7362132527
75,LLA-22,273.3850966,LLANOS22 3D-2009,CEPSA COLOMBIA S.A.,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-72.63426522,-72.42850523,4.99428151,5.20467917,0.0222797532746,0.841411992235,277185343.212402,93849.7562832053
76,LLA-56,234.44931598,LLANOS56 3D-2010,TABASCO OIL COMPANY LLC,LLANOS ORIENTALES,G2 SEISMIC LTD SUCURSAL COLOMBIA,1/1/1900 12:00:00 AM,-71.17528491,-70.99128339,5.99480694,6.17838546,0.0190995870031,0.839653835216,238024841.239746,93711.6242816759
77,SANTA_ISABEL,60.96323159,SANTA ISABEL 3D-2011,CANACOL ENERGY COLOMBIA S.A.,VALLE MEDIO DEL MAGDALENA,GEOESPECTRO S A S,1/1/1900 12:00:00 AM,-73.77311109,-73.6917206,8.08636223,8.19251323,0.00500160053656,0.339922768664,62610993.1831055,38070.1077239024
78,SANTACRUZ,60.08558599,SANTA CRUZ 3D-2009,FRONTERA ENERGY COLOMBIA CORP. SUCURSAL COLOMBIA,CATATUMBO,GLOBAL GEOPHYSICAL SERVICES INC,1/1/1900 12:00:00 AM,-72.47816348,-72.3932222,8.22669522,8.32687587,0.00492743509231,0.331733038086,61704678.9589844,37144.0018515282
79,GUATIQUIA,148.8795644,GUATIQUIA 3D-2010,FRONTERA ENERGY COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-73.0586254,-72.90045531,4.27456749,4.37723022,0.0121241264804,0.642389532436,150670412.510742,71612.5707917154
80,SSJN-01,299.83958384,SSJN1 3D-2010,LEWIS ENERGY COLOMBIA INC,SINU-SAN JACINTO,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-75.02699176,-74.80726704,10.53507382,10.7266094,0.0247689470594,0.715985811998,312308099.599609,80345.005089864
81,CHIMICHAGUA,6.21696269,ARJONA 3D-93,ECOPETROL S.A.,VALLE INFERIOR DEL MAGDALENA,MAXUS ENERGY COLOMBIA B.V.,1/1/1900 12:00:00 AM,-73.97405071,-73.93790911,9.50313041,9.59478803,0.000512024983662,0.208087610985,6433893.4921875,23423.7639354855
82,DOROTEA,12.38293939,DOROTEA NORTE 3D-2008,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIANA,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-71.01514108,-70.97773078,5.53744524,5.57958018,0.00100771523001,0.127712754538,12546633.2680664,14253.5817441032
